"","id","modified","basisOfRecord","occurrenceID","individualCount","sex","lifeStage","eventID","taxonID","scientificName","kingdom","phylum","class","order","genus","specificEpithet"
"1456",NA,NA,NA,"dba8429d-11a2-4252-876b-ccd6685226a9",1,"Adult","Female","920be1b5-1ac4-467f-a7b0-e414fed8ef1a",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1457",NA,NA,NA,"039b9160-7079-4c9d-87f1-7cb9acde1f6b",9,"Juvenile","unknown","920be1b5-1ac4-467f-a7b0-e414fed8ef1a",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1458",NA,NA,NA,"7a59eb62-1fde-4550-9b15-c6e635ad6224",1,"Adult","Male","3b2e4506-c628-442c-a569-a1c949d59747",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1459",NA,NA,NA,"217773d8-f740-4f13-bdab-b320d71bf147",1,"Adult","Female","83361d4d-6cdc-46ca-b179-aff0a58d4cea",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1460",NA,NA,NA,"c4fa72c0-49c3-4fe9-b0b5-6f94a403ed01",5,"Juvenile","unknown","83361d4d-6cdc-46ca-b179-aff0a58d4cea",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1461",NA,NA,NA,"176d9ea1-2532-4541-a51d-48ed3a6a8381",1,"Adult","Female","ddcd6e1d-1e31-4062-a9b1-59808d0d8f60",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1462",NA,NA,NA,"024b2326-0cfa-4c4c-9db2-0299bc795347",8,"Juvenile","unknown","ddcd6e1d-1e31-4062-a9b1-59808d0d8f60",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1463",NA,NA,NA,"cda444b6-aab2-477f-aefe-856fb6445b04",1,"Adult","Male","59ed7e13-5b7a-4c1e-a76c-c6b698188182",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1464",NA,NA,NA,"22cca482-9cca-41bd-b702-6d6f6366eb05",1,"Adult","unknown","8e20bcb9-a578-4b5a-af2a-69eb482f1032",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
"1465",NA,NA,NA,"d49240d0-d0cb-4894-b3b4-31d63cce3de0",2,"Juvenile","unknown","fc449d9f-df62-4f4b-9543-bf4f238b35df",NA,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus"
