id,type,modified,ownerInstitutionCode,dynamicProperties,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,eventRemarks,locationID,country,stateProvince,municipality,locality,verbatimLocality,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,footprintWKT,footprintSRS
3B81D9BE-6B35-4211-BC5F-63EF24910ABB,Event,2019-08-08T12:21:03Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""0"" }",3B81D9BE-6B35-4211-BC5F-63EF24910ABB,6B645CA1-F835-4BFA-88AE-360A6256E5E8,Distance sampling based on line transects,NA,NA,2018-08-14,09:45:00,Human observation,2AF8BBB9-6EAA-4B03-8544-48DC502C6029,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3503, and reporting level: TOV-Børgefjell",65.063,13.8022,100,NA,NA
9A022D44-96E3-41E0-881E-652FA75D14B7,Event,2020-08-14T11:09:03Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""172"" }",9A022D44-96E3-41E0-881E-652FA75D14B7,B1C1C8A2-7576-4BC7-B7B3-F7879DF0391C,Distance sampling based on line transects,NA,NA,2020-08-14,12:36:00,Human observation,B2AB7E28-2E4D-480B-86F0-1A7355A52C2F,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3513, and reporting level: TOV-Møsvatn",59.8971,8.2909,100,NA,NA
D243FAA3-24BF-438D-8C23-6537218B731F,Event,2019-08-08T12:21:03Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""110"" }",D243FAA3-24BF-438D-8C23-6537218B731F,62C2F52A-687A-4D61-AEBF-3B08D98AE4E1,Distance sampling based on line transects,NA,NA,2019-08-03,14:07:00,Human observation,2AF8BBB9-6EAA-4B03-8544-48DC502C6029,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3503, and reporting level: TOV-Børgefjell",65.0763,13.8075,100,NA,NA
91C06DF0-5F2F-4494-AC75-65EBD6C105E1,Event,2019-08-08T12:21:03Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""0"" }",91C06DF0-5F2F-4494-AC75-65EBD6C105E1,452047A5-C3EF-4505-B48A-4BCFABC0AB89,Distance sampling based on line transects,NA,NA,2019-08-02,18:04:00,Human observation,4B5F0015-3536-4D00-B687-C9365FE3081A,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3505, and reporting level: TOV-Børgefjell",65.0817,13.8383,100,NA,NA
AA77B057-5344-4FFC-A9EE-66BCAB0EEA17,Event,2019-08-02T11:19:32Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""115"" }",AA77B057-5344-4FFC-A9EE-66BCAB0EEA17,68DBC29F-506B-40A8-93B5-18A00F116149,Distance sampling based on line transects,NA,NA,2019-08-02,12:17:00,Human observation,3A5C2034-50F2-4FB7-87AF-D3090D6520E7,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4026, and reporting level: Kongsvoll",62.306,9.6439,100,NA,NA
BF911B34-5535-424C-BD93-687DF40C6489,Event,2018-01-31T14:51:34Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""80"" }",BF911B34-5535-424C-BD93-687DF40C6489,D422FC67-E1DE-4B28-B64A-6779ED1D041B,Distance sampling based on line transects,NA,NA,2017-08-06,13:00:00,Human observation,721F3229-39A7-49D9-928B-C9AD3784FEB4,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4029, and reporting level: Kongsvoll",62.2793,9.6729,100,NA,NA
075D2A75-E272-43AE-B346-6917007C97EF,Event,2018-01-31T14:51:34Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""92"" }",075D2A75-E272-43AE-B346-6917007C97EF,A0D3BF61-8E3B-41DA-A6B0-3F46F8593A97,Distance sampling based on line transects,NA,NA,2017-08-05,15:40:00,Human observation,E195F427-50BC-4B06-B7C7-0753A1DA7CAE,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4025, and reporting level: Kongsvoll",62.2936,9.638,100,NA,NA
F8590BB5-C9A3-46FB-84C6-691744D11D42,Event,2018-08-04T17:24:35Z,NINA,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""48"" }",F8590BB5-C9A3-46FB-84C6-691744D11D42,F94F6FB1-AD1B-40BB-B337-C05A137E93D1,Distance sampling based on line transects,NA,NA,2018-08-04,15:31:00,Human observation,A120B8AB-9324-4D30-AC88-13FC9C990F39,Norway,Telemark            ,Tinn,TOV-Møsvatn,TOV-Møsvatn,"In the original data this is known as lineID 3512, and reporting level: TOV-Møsvatn",59.8999,8.302,100,NA,NA
B4FB77C7-DD4C-401A-923A-6B8B84478862,Event,2018-01-31T14:51:34Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""46"" }",B4FB77C7-DD4C-401A-923A-6B8B84478862,A0D3BF61-8E3B-41DA-A6B0-3F46F8593A97,Distance sampling based on line transects,NA,NA,2017-08-05,13:40:00,Human observation,E195F427-50BC-4B06-B7C7-0753A1DA7CAE,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4025, and reporting level: Kongsvoll",62.3117,9.6357,100,NA,NA
9A3A6933-CC09-4EE2-932D-6C5DC0737E10,Event,2018-08-03T16:15:43Z,Statskog,"{ ""perpendicular distance in meters from transect line as reported by the field worker"":""100"" }",9A3A6933-CC09-4EE2-932D-6C5DC0737E10,4AAB2819-1750-407C-A324-A663ED0BAB0B,Distance sampling based on line transects,NA,NA,2018-08-03,15:44:00,Human observation,2EDE5B7D-CEC6-4D78-9C10-71384A6C1EFA,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4024, and reporting level: Kongsvoll",62.3033,9.6248,100,NA,NA
