id,modified,basisOfRecord,occurrenceID,individualCount,sex,lifeStage,eventID,taxonID,scientificName,kingdom,phylum,class,order,genus,specificEpithet
30CEF04C-0772-4959-A5D8-022EDD75A0E9,2019-08-08T12:37:21Z,HumanObservation,9BE80BEC-D460-4D58-B06C-6FBEA314A6F8,1,Male,Adult,30CEF04C-0772-4959-A5D8-022EDD75A0E9,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
30CEF04C-0772-4959-A5D8-022EDD75A0E9,2019-08-08T12:37:21Z,HumanObservation,0F699F9B-E73E-4521-A906-16DD76BD04BE,1,Female,Adult,30CEF04C-0772-4959-A5D8-022EDD75A0E9,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
30CEF04C-0772-4959-A5D8-022EDD75A0E9,2019-08-08T12:37:21Z,HumanObservation,DDB4EA77-A675-4108-82C3-F86C49200B66,8,unknown,Juvenile,30CEF04C-0772-4959-A5D8-022EDD75A0E9,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
8B4895DA-57F7-401A-BD31-03486F5ADA5B,2019-08-08T12:37:21Z,HumanObservation,37DADFA3-B289-4897-A2AE-7952E4F8E928,1,Male,Adult,8B4895DA-57F7-401A-BD31-03486F5ADA5B,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
8B4895DA-57F7-401A-BD31-03486F5ADA5B,2019-08-08T12:37:21Z,HumanObservation,B98E335A-3A59-45B9-9D12-3BE95EBBBAEA,1,Female,Adult,8B4895DA-57F7-401A-BD31-03486F5ADA5B,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
8B4895DA-57F7-401A-BD31-03486F5ADA5B,2019-08-08T12:37:21Z,HumanObservation,396590F6-EA2C-447D-81F5-445F37E01869,6,unknown,Juvenile,8B4895DA-57F7-401A-BD31-03486F5ADA5B,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
7E9E90CC-5EA9-43DF-815B-0444397CCE2C,2018-01-31T14:51:34Z,HumanObservation,F703525F-8146-416C-B292-23EEEB1EA884,1,Male,Adult,7E9E90CC-5EA9-43DF-815B-0444397CCE2C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
7E9E90CC-5EA9-43DF-815B-0444397CCE2C,2018-01-31T14:51:34Z,HumanObservation,1901F892-852D-42C4-A663-11EC7CC69B43,1,Female,Adult,7E9E90CC-5EA9-43DF-815B-0444397CCE2C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
7E9E90CC-5EA9-43DF-815B-0444397CCE2C,2018-02-12T11:43:00Z,HumanObservation,16D5BB1F-A05D-4BC1-91F7-307BC73A1D99,7,unknown,Juvenile,7E9E90CC-5EA9-43DF-815B-0444397CCE2C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
281EEACD-9508-4F0F-B5A3-0552C90051FA,2019-08-08T12:37:21Z,HumanObservation,ACF03CB9-FA9A-4F81-A340-2A6D9025E031,1,Female,Adult,281EEACD-9508-4F0F-B5A3-0552C90051FA,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
F90885D2-E0CD-44B5-8660-062CCC8F67D5,2019-08-08T12:37:21Z,HumanObservation,98287E50-F81F-4ECC-B4A2-38A2F0C912BC,1,Male,Adult,F90885D2-E0CD-44B5-8660-062CCC8F67D5,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
F90885D2-E0CD-44B5-8660-062CCC8F67D5,2019-08-08T12:37:21Z,HumanObservation,6FBF744E-C3A2-4DC7-B620-3938D43ABED7,1,Female,Adult,F90885D2-E0CD-44B5-8660-062CCC8F67D5,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
F90885D2-E0CD-44B5-8660-062CCC8F67D5,2019-08-08T12:37:21Z,HumanObservation,1014D010-7B0F-4657-8CAA-5D2F9832A8B4,7,unknown,Juvenile,F90885D2-E0CD-44B5-8660-062CCC8F67D5,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
FD6700FB-00CC-4D1A-9C93-0BBA3B807F9C,2019-08-08T12:37:21Z,HumanObservation,4B3288E3-873F-47A8-AD03-E2B150A21E5B,1,Male,Adult,FD6700FB-00CC-4D1A-9C93-0BBA3B807F9C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
